bleu,bertscore,bertscore_p,bertscore_r,IoU,Coverage (target words),delta,word
0.08009938669234046,0.6600206196308136,0.6780293583869934,0.6430329084396362,1.0,1.0,0,другой
0.02077639890964914,0.5989023149013519,0.6143325567245483,0.5842395424842834,1.0,1.0,0,спорый
0.07427395539326183,0.7242399156093597,0.7233406603336334,0.725565642118454,1.0,1.0,0,классный
0.06059164340668741,0.6799352566401163,0.6704607009887695,0.6910659869511923,1.0,1.0,0,кругом
0.06044836259799933,0.6680347621440887,0.6598080992698669,0.6769780516624451,1.0,1.0,0,хлебало
0.09862002578378022,0.7044758399327596,0.7120556235313416,0.6990744471549988,1.0,1.0,0,скорлупа
0.1288799825013825,0.705081045627594,0.7241318941116333,0.6887806415557861,1.0,1.0,0,масляный
0.010697691669654346,0.6029080748558044,0.6343131065368652,0.5776427984237671,1.0,1.0,0,ягодица
0.012044283571530458,0.640355795621872,0.6735213994979858,0.6175838708877563,1.0,1.0,0,мирный
0.1055541173053472,0.6574077606201172,0.6613097190856934,0.6548929810523987,1.0,1.0,0,чайник
0.25935819304580987,0.7480025589466095,0.7505287528038025,0.7474007308483124,1.0,1.0,0,лев
0.021693229944449204,0.62148118019104,0.6475421786308289,0.5974557995796204,1.0,1.0,0,королёк
0.026684828127274237,0.6797527968883514,0.734624832868576,0.6327797174453735,1.0,1.0,0,шлем
0.027611988917697356,0.6377639770507812,0.646853119134903,0.6289428472518921,1.0,1.0,0,коммерция
0.027611988917697356,0.6600167155265808,0.6361013948917389,0.6858492791652679,1.0,1.0,0,сварочный
0.034417075090656175,0.6077913641929626,0.6079316437244415,0.6076643466949463,1.0,1.0,0,тмин
0.04292255058591636,0.6670797169208527,0.6891334652900696,0.6467437148094177,1.0,1.0,0,курево
0.025438206103636948,0.6767613291740417,0.6684157252311707,0.6866342127323151,1.0,1.0,0,четвертак
0.022388252977130634,0.6081437587738037,0.6009759783744812,0.6156619429588318,1.0,1.0,0,зелёный
0.021320819468821625,0.6245904564857483,0.6524367332458496,0.5990238189697266,1.0,1.0,0,короб
0.03183215325320441,0.639102061589559,0.6249969800313314,0.6541715661684672,1.0,1.0,0,тонкий
0.05354738744191539,0.6943592627843221,0.6933062573273977,0.6969718138376871,1.0,1.0,0,лад
0.036592999065830314,0.6692823171615601,0.6948506534099579,0.6500300168991089,1.0,1.0,0,комковатый
0.06470063866598723,0.7391472458839417,0.7255169351895651,0.7560418844223022,1.0,1.0,0,чад
0.05394567786548363,0.6539676189422607,0.6456236839294434,0.6646856665611267,1.0,1.0,0,фон
0.13178717705373655,0.7137615382671356,0.7144562005996704,0.7130898535251617,1.0,1.0,0,убрать
0.05522397783539471,0.6535845994949341,0.637550413608551,0.6704460978507996,1.0,1.0,0,эпистолярный
0.08171014300726602,0.6890344023704529,0.6850157976150513,0.6931004524230957,1.0,1.0,0,струя
0.04267917785498249,0.6773963868618011,0.6806283891201019,0.6746513843536377,1.0,1.0,0,кровля
0.15429469608209262,0.7571916182835897,0.7561787168184916,0.761461615562439,1.0,1.0,0,южный
0.23307625239294208,0.7333439886569977,0.7540079951286316,0.7141613066196442,1.0,1.0,0,латка
0.03413793806342925,0.6103862325350443,0.6292583545049032,0.5928119520346323,1.0,1.0,0,срыв
0.0,0.5899012883504232,0.6028204758961996,0.5778640508651733,1.0,1.0,0,точить
0.06666963592543002,0.712478294968605,0.7257657200098038,0.7019238322973251,1.0,1.0,0,язва
0.17956154720793704,0.718084305524826,0.7306258380413055,0.7071947455406189,1.0,1.0,0,совокупность
0.21305159196538564,0.7586942911148071,0.7622106969356537,0.7553312480449677,1.0,1.0,0,слыхать
0.024858146428448708,0.6279111901919047,0.6677290002504984,0.5926347176233927,1.0,1.0,0,иконостас
0.04471456541474261,0.7081870834032694,0.6955279310544332,0.7259040077527364,1.0,1.0,0,элемент
0.058458341898261955,0.6403540074825287,0.6458276212215424,0.635213315486908,1.0,1.0,0,кремль
0.2106976474226304,0.8090682625770569,0.796848326921463,0.8257211446762085,1.0,1.0,0,шлифовальный
0.05026585089812819,0.6855000704526901,0.675878569483757,0.6967602521181107,1.0,1.0,0,стол
0.06023170147642425,0.7255386511484782,0.741870661576589,0.7101408640543619,1.0,1.0,0,забродить
0.042526813707858595,0.6863167405128479,0.6999984383583069,0.6740976333618164,1.0,1.0,0,каре
0.08710335997451313,0.6870886981487274,0.6878167390823364,0.6870202720165253,1.0,1.0,0,сухарь
0.04725170764854006,0.6468048691749573,0.6647350192070007,0.6298179030418396,1.0,1.0,0,мина
0.0,0.6100573539733887,0.5928551554679871,0.6283093988895416,1.0,1.0,0,топчан
0.03877379384039116,0.6071549654006958,0.627193033695221,0.5884269873301188,1.0,1.0,0,сидячий
0.010166669188853382,0.6577936172485351,0.7011395931243897,0.6228339076042175,1.0,1.0,0,тяжесть
0.4480601965445546,0.8114180266857147,0.8059516847133636,0.8170782327651978,1.0,1.0,0,табельный
0.04665569480289017,0.7027508020401001,0.7236663301785787,0.6833110253016154,1.0,1.0,0,меч
0.05522397783539471,0.6488036513328552,0.6469053328037262,0.6507329940795898,1.0,1.0,0,чувственный
0.03389613672744101,0.5955969989299774,0.6004133224487305,0.5917723476886749,1.0,1.0,0,скатка
0.03686532347242159,0.633215457201004,0.6249250769615173,0.6420740187168121,1.0,1.0,0,шпана
0.054499562864250846,0.6649501323699951,0.6871121724446615,0.644346018632253,1.0,1.0,0,сан
0.022595062446081303,0.6184938251972198,0.6343729496002197,0.6034176349639893,1.0,1.0,0,шитьё
0.03465344407214353,0.5995707809925079,0.6469971239566803,0.5587260723114014,1.0,1.0,0,чека
0.04300671520426111,0.6439414322376251,0.626880019903183,0.6626275777816772,1.0,1.0,0,формула
0.0036615853582219297,0.610848625500997,0.6152104139328003,0.6091021299362183,1.0,1.0,0,черныш
0.020315766105349128,0.6007756590843201,0.6239324808120728,0.5792762041091919,1.0,1.0,0,форте
0.022869567780619004,0.5838289856910706,0.5505659878253937,0.6275467872619629,1.0,1.0,0,чурек
0.0,0.6203964352607727,0.6039157509803772,0.6379287540912628,1.0,1.0,0,копёр
0.020836258225692805,0.5913504660129547,0.6148577630519867,0.5696617960929871,1.0,1.0,0,ядрышко
0.16165499735530545,0.7157285809516907,0.7262467543284098,0.7055487434069315,1.0,1.0,0,дохлый
0.12360483312170517,0.6930356025695801,0.7051568428675333,0.6813631057739258,1.0,1.0,0,шпилить
0.03839140192188512,0.6771765152613322,0.676916778087616,0.677940825621287,1.0,1.0,0,шабаш
0.04160390127068577,0.6667038003603617,0.6866421103477478,0.6489672263463339,1.0,1.0,0,сверлить
0.11814158492369639,0.7421094477176666,0.7707826495170593,0.7157562971115112,1.0,1.0,0,яблоко
0.01512028840979883,0.6784978806972504,0.7103511989116669,0.6494134962558746,1.0,1.0,0,сошник
0.056697911109760024,0.6942217946052551,0.6807637810707092,0.7082303166389465,1.0,1.0,0,запасть
0.17915925578892636,0.7816147605578104,0.7450674970944723,0.824623684088389,1.0,1.0,0,мара
0.03445745153143543,0.6446079611778259,0.6695571541786194,0.6215182741483053,1.0,1.0,0,сажалка
0.015510804639880029,0.6115635633468628,0.6148170232772827,0.6083518266677856,1.0,1.0,0,средство
0.05522397783539471,0.6402955055236816,0.6187472343444824,0.6636500954627991,1.0,1.0,0,казённый
0.02562752308356391,0.6084602475166321,0.6452165246009827,0.5759150385856628,1.0,1.0,0,уголок
0.04710269142478227,0.6587199866771698,0.664177785317103,0.6539289355278015,1.0,1.0,0,фигура
0.2007658244530034,0.7336491644382477,0.7449694573879242,0.7228342294692993,1.0,1.0,0,шаманить
0.05103321423623793,0.6505721211433411,0.6533958911895752,0.6480334401130676,1.0,1.0,0,звонкий
0.14024131182743327,0.7585563063621521,0.7682865460713705,0.7493730187416077,1.0,1.0,0,драить
0.010915355699384016,0.606163889169693,0.6397145688533783,0.5759916603565216,1.0,1.0,0,серебристый
0.03184642456269337,0.5957477986812592,0.5828714668750763,0.6098231077194214,1.0,1.0,0,кургузый
0.07151017589613913,0.7211200594902039,0.7394447028636932,0.7036911845207214,1.0,1.0,0,цыкать
0.03852542192992853,0.6557684342066447,0.6311121185620626,0.6828691562016805,1.0,1.0,0,холод
0.04456882760699063,0.6965144276618958,0.7115446329116821,0.6821840405464172,1.0,1.0,0,рулить
0.022881547349748024,0.6406559109687805,0.6385417461395264,0.6432028412818909,1.0,1.0,0,установка
0.06727530248395683,0.6940970420837402,0.708156406879425,0.6806322932243347,1.0,1.0,0,фартук
0.008028465079137086,0.6502018868923187,0.723497211933136,0.5917002856731415,1.0,1.0,0,сыворотка
0.04134605104479217,0.648980975151062,0.6438249349594116,0.654498279094696,1.0,1.0,0,кадра
0.03557000003299829,0.6866691708564758,0.7129107713699341,0.6622933745384216,1.0,1.0,0,цикл
0.044904949488211034,0.65245321393013,0.6550811529159546,0.6532288789749146,1.0,1.0,0,ладно
0.014929831413909562,0.6183072626590729,0.6219557523727417,0.6154595017433167,1.0,1.0,0,травля
0.057351075317931106,0.6377243995666504,0.6616219679514567,0.6161651412645975,1.0,1.0,0,дробь
0.027762750245785457,0.6227860450744629,0.6312204122543335,0.6150979280471802,1.0,1.0,0,центр
0.03599222708065735,0.6860032352534208,0.6906808127056469,0.6824936162341725,1.0,1.0,0,язык
0.07606188867657666,0.7459740936756134,0.7305922210216522,0.7623640894889832,1.0,1.0,0,салютовать
0.03181507993808818,0.6466368436813354,0.6355582674344381,0.6593239307403564,1.0,1.0,0,катран
0.15142430741400403,0.7336522340774536,0.7589688499768575,0.7108633120854696,1.0,1.0,0,крутить
0.00871809853316164,0.597480297088623,0.6209867596626282,0.5757512251536051,1.0,1.0,0,таблетка
0.03690865100639239,0.6239124298095703,0.6318094611167908,0.6170294404029846,1.0,1.0,0,шифр
0.03354618574755595,0.626248300075531,0.6237451632817587,0.6291579405466715,1.0,1.0,0,киса
0.044984482849913944,0.665128767490387,0.6849994957447052,0.6464484333992004,1.0,1.0,0,спора
0.04314535655395944,0.6481936872005463,0.6643851399421692,0.633284866809845,1.0,1.0,0,дека
0.018292933259079908,0.6153557300567627,0.6410005688667297,0.5917682647705078,1.0,1.0,0,чертовщина
0.01307714779974246,0.5981090366840363,0.6134664416313171,0.5843935906887054,1.0,1.0,0,форточка
0.1167176934741559,0.7176107466220856,0.7291796207427979,0.7065865993499756,1.0,1.0,0,увязать
0.0,0.6241546869277954,0.6223855316638947,0.6259680688381195,1.0,1.0,0,хилость
0.0636150865840036,0.6895325183868408,0.6982493996620178,0.6814262270927429,1.0,1.0,0,тулуп
0.05375444924801351,0.7127995491027832,0.7297224700450897,0.698007345199585,1.0,1.0,0,судак
0.0,0.6258098483085632,0.6089334487915039,0.64364954829216,1.0,1.0,0,коммерческий
0.02317234817701259,0.6498445471127828,0.6797788341840109,0.6228300929069519,1.0,1.0,0,мелкий
0.1252557768189774,0.676819642384847,0.6816397706667582,0.6732274293899536,1.0,1.0,0,кабак
0.006510609624247988,0.6741776863733927,0.6911475857098898,0.658775786558787,1.0,1.0,0,синдикат
0.04687586329076323,0.6989359160264333,0.701090673605601,0.6976989507675171,1.0,1.0,0,ясный
